<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251117,033000,14880000,14929980,14710050,14895000,890695
20251118,033000,14712170,14899900,14712170,14870000,1540073
20251119,033000,14910100,15116000,14910100,15099000,1436946
20251122,033000,14780000,14899990,14780000,14820000,1570887
20251123,033000,14870000,15022000,14850180,14975100,1248718
20251125,033000,15070000,15150000,14980010,15072000,1446658
20251126,033000,15170000,15285000,15140130,15142020,762546
20251129,033000,15400000,15688990,15400000,15670000,1027598
20251130,033000,15860200,16100010,15860200,15958020,1762090
20251201,033000,16220000,16569000,16192900,16488060,1486853
20251202,033000,15999000,16370000,15999000,16305000,1541797
20251203,033000,16400100,16580000,16400100,16520000,1270328
20251206,033000,16505000,16720000,16505000,16696010,1880886
20251207,033000,16800000,16882000,16610170,16735000,991629
20251208,033000,16800000,16905000,16700040,16800000,507706
20251209,033000,16900000,16900000,16300110,16350000,1212129
20251210,033000,16666000,16824000,16320000,16800110,817923
20251213,033000,17630000,17670000,17485040,17604000,1455881
20251214,033000,17450620,17450620,17210030,17365600,373426
20251215,033000,18100000,18249950,17200000,17420070,2342831
20251216,033000,17100000,17488220,16550000,16974930,827543
20251217,033000,17844970,18190000,17460000,18179970,1378304
20251220,033000,18308580,18308580,17600000,18250080,2639786
20251221,033000,17610000,17899740,17610000,17820000,1639142
20251222,033000,18400000,18460000,18160070,18410000,1299698
20251223,033000,18860000,19000000,18650000,18921990,704238
20251224,033000,19149990,19500010,19000010,19500010,511051
20251227,033000,19840000,20140100,19600110,20130000,990832
20251228,033000,20900000,21300000,19988800,20020030,2367936
20251229,033000,19799990,19929980,18555360,18555360,2133627
20251230,033000,18570250,19585000,18570250,19520000,692458
20251231,033000,19170000,19250000,18501020,18710000,858001
20260104,033000,19199880,19588000,18900000,19580000,494595
20260105,033000,19892990,20495000,19892990,20370000,561908
20260106,033000,21230000,21630000,21010010,21490990,969535
20260107,033000,21200000,21340000,20999990,21330000,746668
20260110,033000,20990000,20990000,19625730,19899950,462099
20260111,033000,20200010,20859990,20000020,20859990,225627
20260112,033000,21223990,21223990,20451050,20699990,232516
20260113,033000,20700000,20989930,20095020,20329990,466866
20260114,033000,20599990,20740000,20333330,20600170,357653
20260118,033000,20899950,20899950,19800000,19979120,313508
20260119,033000,20380000,20469990,20052030,20197990,352765
20260120,033000,20399970,20589980,20100010,20400000,250889
20260121,033000,20650640,21140000,20650640,20999850,280065
20260124,033000,21840000,21891000,21490550,21565000,509368
20260125,033000,21600000,21861000,21560000,21749000,766856
20260126,033000,22390000,22920000,22390000,22679360,696407
20260127,033000,22975830,24590000,22975830,24425000,900735
20260128,033000,26491400,26491400,25650000,25959970,1111963
20260131,033000,23551000,25491590,23551000,24750000,865466
20260201,033000,24652460,25167980,23660040,24049840,1082370
20260202,033000,23500010,23500010,22197120,22700160,785140
20260203,033000,24100000,24127400,23500000,23999990,663303
20260207,033000,23000200,24300000,23000200,23999980,883228
20260208,033000,24389950,24795000,23800100,24741000,1112322
20260209,033000,25699940,25879990,25000000,25440000,1125300
20260210,033000,25800000,25999880,25000000,25555000,681808
20260214,033000,25000010,25000010,24609900,24931220,762805
20260215,033000,25000000,25565000,24795640,25359000,1067019
20260216,033000,24999990,25150000,24661020,24830000,395997
20260217,033000,24900000,25499000,24430000,25099980,564395
20260218,033000,25197000,25579790,24857010,24998780,762248
20260221,033000,26017150,26208990,25400070,25659930,911210
20260222,033000,25789990,25880000,25500220,25878980,1410392
20260223,033000,25939990,25939990,25400020,25659990,860125
20260224,033000,25690000,26050000,25640000,25999980,1674732
20260225,033000,26299990,26299990,24800000,24800000,914164
20260315,033000,23095600,23095600,23095600,23095600,2437
20260316,033000,20786040,21909970,20786040,21350000,503652
20260317,033000,21500000,23154230,21500000,23154180,425977
20260318,033000,23919990,24994490,23919990,24769960,222667
20260325,033000,23200000,23749700,23200000,23310020,354507
20260328,033000,23500010,23550000,23020000,23100040,261038
20260329,033000,23000000,23349830,22620000,22620000,249426
20260330,033000,22600380,22990000,22600320,22670000,219310
20260331,033000,23099900,23500000,22600000,23499990,182345
20260404,033000,23011020,23850000,23011020,23720000,91034
20260405,033000,23500000,23739990,23300010,23600230,206411
