<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170405,043000,37670,37750,37660,37705,1
20170406,043000,37690,37715,37645,37665,1
20170407,043000,37740,37740,37670,37680,1
20170408,043000,37710,37710,37580,37590,1
20170409,043000,37585,37690,37580,37680,1
20170410,043000,37700,37735,37675,37690,1
20170411,043000,37675,37695,37625,37625,1
20170412,043000,37635,37697,37610,37650,1
20170413,043000,37620,37650,37600,37635,1
20170414,043000,37625,37645,37605,37610,1
20170415,043000,37630,37665,37565,37570,1
20170416,043000,37595,37615,37540,37560,1
20170417,043000,37590,37600,37515,37530,1
20170418,043000,37550,37552,37465,37495,1
20170419,043000,37515,37535,37500,37525,1
20170420,043000,37520,37523,37505,37510,1
20170421,043000,37505,37505,37440,37445,1
20170422,043000,37455,37555,37450,37545,1
20170423,043000,37560,37600,37485,37490,1
20170424,043000,37525,37600,37505,37565,1
20170425,043000,37570,37585,37560,37580,1
20170426,043000,37610,37640,37590,37635,1
20170427,043000,37638,37665,37630,37650,1
20170428,043000,37655,37655,37635,37645,1
20170429,043000,37660,37815,37660,37805,1
20170430,043000,37835,37883,37723,37735,1
20170501,043000,37760,37770,37663,37700,1
20170502,043000,37705,37715,37615,37620,1
20170503,043000,37635,37720,37618,37695,1
20170504,043000,37740,37757,37723,37730,1
20170505,043000,37725,37740,37715,37740,1
20170506,043000,37770,37795,37605,37615,1
20170507,043000,37610,37640,37552,37570,1
20170508,043000,37600,37610,37565,37590,1
20170509,043000,37610,37630,37593,37625,1
20170510,043000,37640,37695,37630,37680,1
20170511,043000,37675,37695,37670,37680,1
20170512,043000,37675,37675,37630,37635,1
20170513,043000,37640,37665,37580,37615,1
20170514,043000,37640,37667,37595,37595,1
20170515,043000,37600,37600,37550,37585,1
20170516,043000,37600,37940,37570,37835,1
20170517,043000,37920,38075,37880,38060,1
20170518,043000,37960,38010,37820,37835,1
20170519,043000,37870,37870,37720,37765,1
20170520,043000,37730,37730,37350,37355,1
20170521,043000,37380,37550,37305,37350,1
20170522,043000,37390,37480,37310,37465,1
20170523,043000,37515,37515,37400,37430,1
20170524,043000,37455,37465,37375,37385,1
20170525,043000,37380,37440,37380,37430,1
20170526,043000,37420,37420,37370,37375,1
20170527,043000,37380,37415,37305,37320,1
20170528,043000,37340,37380,37280,37350,1
20170529,043000,37380,37415,37275,37285,1
20170530,043000,37290,37367,37255,37345,1
20170531,043000,37400,37420,37305,37325,1
20170601,043000,37310,37330,37300,37310,1
20170602,043000,37315,37320,37280,37285,1
20170603,043000,37280,37290,37275,37285,1
20170604,043000,37290,37305,37290,37295,1
20170605,043000,37285,37290,37260,37270,1
20170606,043000,37275,37320,37265,37270,1
20170607,043000,37340,37415,37320,37380,1
20170608,043000,37385,37395,37340,37350,1
20170609,043000,37345,37345,37325,37330,1
20170610,043000,37355,37360,37300,37320,1
20170611,043000,37340,37358,37320,37325,1
20170612,043000,37330,37332,37265,37280,1
20170613,043000,37275,37290,37220,37280,1
20170614,043000,37290,37290,37240,37245,1
20170615,043000,37260,37260,37235,37255,1
20170616,043000,37250,37250,37235,37250,1
20170617,043000,37275,37395,37260,37370,1
20170618,043000,37395,37535,37395,37460,1
20170619,043000,37525,37625,37460,37500,1
20170620,043000,37530,37555,37425,37425,1
20170621,043000,37430,37450,37385,37415,1
20170622,043000,37420,37545,37420,37525,1
20170623,043000,37540,37545,37500,37520,1
20170624,043000,37550,37630,37515,37535,1
20170625,043000,37570,37637,37565,37615,1
20170626,043000,37605,37630,37600,37605,1
20170627,043000,37600,37610,37585,37600,1
20170628,043000,37605,37645,37605,37630,1
20170629,043000,37660,37720,37660,37705,1
20170630,043000,37665,37665,37640,37665,1
20170701,043000,37700,37870,37700,37820,1
20170702,043000,37855,37860,37727,37775,1
20170703,043000,37778,37830,37735,37825,1
20170704,043000,37855,37865,37800,37810,1
20170705,043000,37830,37945,37825,37925,1
20170706,043000,37930,37935,37890,37910,1
20170707,043000,37915,37915,37875,37900,1
20170708,043000,37930,37945,37857,37860,1
