<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210226,033000,26701,26930,26333,26809,4843079.8109606635
20210227,033000,26809,27401,26700,26985,5650323.219371438
20210228,033000,26918,27197,26481,26496,5054235.819611674
20210301,033000,26490,26948,25830,26099,5505400.52641981
20210302,033000,26100,26750,25865,26080,6030819.666180858
20210303,033000,26077,26350,25700,26094,3878833.8588291523
20210304,033000,26058,26197,25550,25644,4902261.536805236
20210305,033000,25640,25820,25499,25706,3759944.604667609
20210306,033000,25767,26101,25700,25750,2970785.240658263
20210307,033000,25747,25835,25200,25300,2989403.3695336166
20210308,033000,25243,25390,24510,24837,3791151.639079713
20210309,033000,24836,25300,24300,24999,4650480.91796252
20210310,033000,24999,25400,24608,24655,4962972.741065568
20210311,033000,24652,25197,24500,25170,4287839.246308775
20210312,033000,25169,25483,24434,25290,3845958.5728213214
20210313,033000,25291,25750,25108,25530,4717017.539060711
20210314,033000,25576,25589,24875,24955,5996263.3834902
20210315,033000,24913,25290,24840,25194,4677732.746003175
20210316,033000,25194,25500,25135,25379,6203550.949722519
20210317,033000,25379,25780,25325,25530,4070475.9767522365
20210318,033000,25540,25779,25404,25609,3766570.5431119236
20210319,033000,25609,25978,25400,25956,4298782.366000223
20210320,033000,25970,26500,25889,26160,2903117.142648412
20210321,033000,26165,26699,26058,26480,3069059.744654148
20210322,043000,26502,27199,26449,27196,3967039.9998114174
20210323,043000,27196,27400,26650,27350,4644081.9387705615
20210324,043000,27350,28386,27027,27324,7508629.799260443
20210325,043000,27323,27500,26500,26910,5441920.5532183675
20210326,043000,26900,28000,26620,26887,7190834.254189843
20210327,043000,26887,27360,26173,26342,4441600.3033451475
20210328,043000,26339,26530,25950,26145,3738768.8534112554
20210329,043000,26145,26589,26003,26500,3825134.4371284023
20210330,043000,26500,26589,26205,26259,4229781.51424491
20210331,043000,26249,26380,26010,26199,5384883.550831421
20210401,043000,26199,26550,26127,26385,6043554.762084179
20210402,043000,26385,26800,25999,26225,8225087.854997298
20210403,043000,26225,26377,25500,25730,6503424.847885882
20210404,043000,25790,25995,24850,25560,8208977.680090107
20210405,043000,25578,26125,25200,25950,8137601.1990720695
20210406,043000,25954,26100,25600,25800,9672636.197637597
20210407,043000,25875,26930,25800,26220,12395146.963712359
20210408,043000,26221,26705,25100,26560,11741877.572600508
20210409,043000,26560,26800,26121,26255,9267039.23783959
20210410,043000,26255,26445,26030,26228,5652311.802087958
20210411,043000,26210,26285,25800,25880,10898345.640925463
20210412,043000,25871,26102,25500,25966,13194820.687040415
20210413,043000,25966,26450,25751,26205,15139816.34818513
20210414,043000,26205,26432,25400,25999,16717106.715621097
20210415,043000,25952,26561,25555,26277,19738033.26042985
20210416,043000,26277,26501,25925,25930,14245059.695729991
20210417,043000,25930,26426,25490,25800,24775450.23610191
20210418,043000,25889,26178,25502,25610,23716191.707411826
20210419,043000,25610,26486,25555,26131,20417164.301379345
20210420,043000,26130,26877,25400,25668,21752636.032787763
20210421,043000,25668,26000,24500,25468,18099573.526510756
20210422,043000,25470,26270,25100,25145,16802581.876693267
20210423,043000,25145,25537,24750,25059,15327245.932888485
20210424,043000,25047,25530,24000,24880,17928289.879085623
20210425,043000,24880,25201,24260,24618,11194879.764896885
20210426,043000,24644,24955,24360,24660,7834295.926741162
20210427,043000,24697,24807,24350,24683,15012952.130786441
20210428,043000,24683,25220,24090,24398,17311348.582851827
20210429,043000,24390,24563,23987,24328,10968356.173848044
20210430,043000,24323,24450,24050,24172,7848413.707130237
20210501,043000,24199,24314,23600,23750,7479983.546101087
20210502,043000,23751,23871,23008,23080,8734140.894971216
20210503,043000,23080,23250,22406,22671,11029478.263262741
20210504,043000,22669,22937,22340,22455,9208015.794914186
20210505,043000,22455,23006,21500,22188,14905193.044692652
20210506,043000,22180,22343,21194,21579,19778536.588659
20210507,043000,21650,22400,21215,22160,20109143.860165924
20210508,043000,22196,22870,22000,22345,14016060.795634931
20210509,043000,22370,22770,22220,22420,20649101.04472141
20210510,043000,22420,23004,22350,22740,19683579.3106349
20210511,043000,22706,23350,22383,23296,17663942.002735697
20210512,043000,23296,24190,23250,23488,20066447.731533743
20210513,043000,23490,24101,23156,24068,16281893.49859127
20210514,043000,24070,25100,24000,24844,17416508.064688362
20210515,043000,24838,24838,23240,23300,11645279.203321297
20210516,043000,23299,24307,22645,23908,11910078.229994262
20210517,043000,23905,24400,23077,24200,12979039.858116068
20210518,043000,24200,25250,22371,23541,19805170.7533869
20210519,043000,23550,23950,22797,23329,11406508.697726026
20210520,043000,23320,24542,23008,24040,18004656.82217354
20210521,043000,24059,25195,23710,24180,15556597.751628138
20210522,043000,24180,24515,23871,24351,8930495.525972543
20210523,043000,24351,24884,23600,23989,11020677.806460371
20210524,043000,23987,24409,23601,23995,12444300.599298578
20210525,043000,23995,24786,23520,24066,11903930.55745484
20210526,043000,24095,24491,23137,23870,11393249.269988315
20210527,043000,23870,24218,23472,24035,9496606.674910255
20210528,043000,24037,24345,23901,24079,7870773.515776631
20210529,043000,24065,24506,23950,24348,9012722.849964656
20210530,043000,24348,24900,24203,24848,8063321.650102651
20210531,043000,24846,25230,24366,24450,7720542.624086066
20210601,043000,24450,24800,23814,23960,9279736.319546714
20210602,043000,23960,24397,23626,24100,7936106.353417761
20210603,043000,24100,24220,23612,23904,10554279.719388545
20210604,043000,23905,24487,23700,24321,8122993.902706664
20210605,043000,24302,24620,23966,24438,10219834.885410449
20210606,043000,24440,24630,24150,24433,5664805.841364808
20210607,043000,24433,24596,24200,24330,3209261.659431185
20210608,043000,24358,24519,24180,24434,6060820.244925171
20210609,043000,24435,24680,24099,24408,10332838.534467328
20210610,043000,24400,24518,23952,24070,7626872.393887764
20210611,043000,24070,24225,23905,24145,5008602.3244519755
20210612,043000,24154,24289,23883,24063,5584859.51757263
20210613,043000,24063,24339,23773,23816,7342076.219526878
20210614,043000,23838,24100,23772,23895,4581652.79476057
20210615,043000,23895,24040,23710,23848,5827556.004566772
20210616,043000,23848,24033,23651,24000,4542135.170984785
20210617,043000,24000,24499,23923,24320,5962550.023498364
20210618,043000,24321,24780,24205,24629,3995058.418499296
20210619,043000,24629,24795,24500,24720,3759655.3463295507
20210620,043000,24714,24748,23780,23870,5882726.602206455
20210621,043000,23870,24049,23310,23937,7891889.616174353
20210622,043000,23937,24645,23560,24550,9411819.752558071
20210623,043000,24519,24800,24308,24514,9337242.61000985
20210624,043000,24513,24650,24150,24285,6917892.969104246
20210625,043000,24285,24390,24000,24140,5944330.993571441
20210626,043000,24140,24550,23852,24405,8188755.475184786
20210627,043000,24406,24750,24292,24530,5000536.804382679
20210628,043000,24500,24609,22497,24547,4885849.44472773
20210629,043000,24502,24608,24115,24440,9068911.495854951
20210630,043000,24440,24999,24304,24740,7918606.566005973
20210701,043000,24739,25095,24406,24965,7521254.559744993
20210702,043000,24965,25200,24850,25190,5001612.43838467
20210703,043000,25190,25550,25075,25390,4251570.918730778
20210704,043000,25380,25424,24975,25179,4212693.235058801
20210705,043000,25179,25294,25110,25135,3956764.7242912147
20210706,043000,25135,25395,25000,25172,6003896.278252848
20210707,043000,25177,25290,25102,25211,3650907.67287801
20210708,043000,25218,25266,25049,25079,3711249.6172828698
20210709,043000,25079,25382,25059,25337,5891562.556422912
20210710,043000,25330,25479,25050,25101,3806951.837700853
20210711,043000,25129,25170,25010,25020,3650463.79322269
20210712,043000,25050,25100,24826,24909,2682673.178096081
20210713,043000,24909,25098,24770,25000,3818612.3939806065
20210714,043000,25028,25201,24856,24960,3777939.3844115157
20210715,043000,24998,25139,24671,24866,4547091.0020797895
20210716,043000,24880,25099,24800,25012,3229843.384243617
20210717,043000,25010,25080,24863,24930,2725450.563968271
20210718,043000,24930,25067,24700,24750,3469438.42964938
20210719,043000,24750,24835,24505,24661,4157041.5971024185
20210720,043000,24700,24999,24533,24771,3811444.1062460802
20210721,043000,24826,25099,24752,24780,4347192.230958878
20210722,043000,24780,24934,24633,24738,4899455.406080282
20210723,043000,24715,24800,24462,24638,4016814.426916149
20210724,043000,24638,24886,24520,24637,3725992.18426655
20210725,043000,24637,24774,24507,24577,5091259.080575698
20210726,043000,24560,24830,24549,24740,3440186.3433296485
20210727,043000,24773,24800,24196,24725,10027633.581269851
20210728,043000,24727,25050,24651,24970,5887545.270199783
20210729,043000,24969,25200,24750,25008,6386287.729397798
20210730,043000,25012,25437,25005,25360,4304829.928925236
20210731,043000,25360,25592,25045,25372,4932392.991639358
20210801,043000,25372,25445,24900,25344,7955638.477669987
20210802,043000,25344,25599,25008,25555,6140157.95378304
20210803,043000,25565,25918,25501,25659,4836053.914958776
20210804,043000,25659,25987,25607,25859,4509055.451324601
20210805,043000,25859,25941,25702,25724,4251000.636777212
