<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180611,170000,12715.67,12715.67,12715.67,12715.67,886406573
20180612,090000,12723.86,12792.19,12723.86,12791.29,21367677119
20180612,170000,12779.63,12779.63,12779.63,12779.63,994682304
20180613,090000,12797.44,13026.41,12797.44,13026.41,39716682665
20180613,170000,13019.29,13019.29,13019.29,13019.29,1561752572
20180617,090000,13081.93,13308.58,13081.93,13308.57,45958158661
20180617,130000,13302.17,13302.17,13302.17,13302.17,1713304776
20180618,090000,13380.09,13446.36,13348.55,13348.57,73303066668
20180618,130000,13348.56,13348.56,13348.56,13348.56,2493118440
20180618,170000,13340.05,13340.05,13340.05,13340.05,2493118440
20180619,090000,13347.28,13350.15,13314.07,13336.08,42766695985
20180619,170000,13308.21,13308.21,13308.21,13308.21,1766062525
20180620,090000,13332.89,13452.39,13332.89,13434.68,52129747188
20180620,130000,13434.66,13434.67,13413.72,13413.72,7257835165
20180623,090000,13420.23,13546.36,13420.23,13546.36,34699332401
20180623,130000,13537.62,13537.62,13537.62,13537.62,1414780326
20180624,090000,13560.85,13720.6,13560.85,13710.67,60550095819
20180624,130000,13710.7,13710.73,13710.7,13710.73,4663850240
20180624,170000,13710.2,13710.2,13710.2,13710.2,2331925120
20180625,090000,13729.62,13865.32,13729.62,13851.43,72956096214
20180625,170000,13837.57,13837.57,13837.57,13837.57,2898371651
20180626,090000,13856.12,13856.12,13682.45,13682.45,57289258981
20180626,170000,13675.54,13675.54,13675.54,13675.54,2077155117
20180627,090000,13678.33,13689.29,13517.3,13517.3,38315697534
20180630,090000,13525.34,13570.04,13525.34,13548.6,26544673660
20180701,090000,13552.59,13557.98,13404.55,13404.55,28975705308
20180701,170000,13386.99,13386.99,13386.99,13386.99,1201195230
20180702,090000,13389.84,13434.23,13389.84,13433.39,17031609875
20180702,170000,13417.93,13417.93,13417.93,13417.93,827791607
20180703,090000,13430.13,13506.59,13430.13,13493.77,30198866956
20180704,090000,13509.88,13521.42,13475.38,13475.39,33115704436
20180704,170000,13467.45,13467.45,13467.45,13467.45,1452920200
20180707,090000,13469.51,13470.74,13437.18,13439.1,22004219885
20180707,170000,13434.16,13434.16,13434.16,13434.16,895787967
20180708,090000,13443,13443,13381.13,13381.14,13804146905
20180708,130000,13365.21,13365.21,13365.21,13365.21,682846808
20180710,090000,13372.25,13379.93,13319.03,13319.1,11636381377
20180710,170000,13316.6,13316.6,13316.6,13316.6,557166400
20180711,090000,13311.72,13311.72,13175.96,13175.96,16937726136
20180711,170000,13171.11,13171.11,13171.11,13171.11,762038292
20180714,090000,13170.8,13245.37,13170.8,13207.83,16376586595
20180714,170000,13170.44,13170.44,13170.44,13170.44,721915319
20180715,090000,13171.69,13186.77,13145.08,13145.14,18664094234
20180715,130000,13132.53,13132.53,13132.53,13132.53,787747400
20180716,090000,13132.9,13158.8,13114.28,13114.29,14637127524
20180716,170000,13094.31,13094.31,13094.31,13094.31,759087675
20180717,090000,13104.65,13127.56,13096.84,13096.84,18400389992
20180717,170000,13084.97,13084.97,13084.97,13084.97,867533528
20180718,090000,13096.27,13121.26,13059.02,13059.02,23888254309
20180718,130000,13059.07,13059.07,13059.07,13059.07,1476160003
20180718,170000,13047.37,13047.37,13047.37,13047.37,1476160003
20180721,090000,13060.12,13146.18,13060.12,13129.01,11859491871
20180721,170000,13087.55,13087.55,13087.55,13087.55,578246120
20180722,090000,13104.94,13152.55,13104.94,13111.89,23908717123
20180722,170000,13066.59,13066.59,13066.59,13066.59,892650161
20180723,090000,13067.15,13067.15,12956.31,12956.33,10823131103
20180723,130000,12946.11,12946.11,12946.11,12946.11,560449173
20180724,090000,12947.34,12983.97,12936.69,12937.46,15711188936
20180724,130000,12937.47,12937.47,12937.47,12937.47,797959318
20180724,170000,12936.12,12936.12,12936.12,12936.12,797959318
20180725,090000,12950.36,12977.01,12941.59,12944.27,20199801393
20180725,130000,12944.28,12944.28,12944.28,12944.28,884566044
20180728,090000,12963.04,13026.67,12963.04,12991.61,35737296691
20180729,090000,13005.24,13053.35,12988.53,12988.71,42310885334
20180729,130000,12988.66,12988.66,12988.66,12988.66,1586789908
20180730,090000,12997.69,13029.46,12997.69,13004.24,55442848505
20180730,130000,13004.25,13004.29,13004.25,13004.29,3923801894
20180730,170000,13004.28,13004.28,13002.27,13002.27,19589150021
20180731,090000,13016.38,13332.18,13016.38,13332.15,33363353914
20180801,090000,13346.88,13506.64,13346.88,13406.99,53124231387
20180804,090000,13410.01,13410.01,13298.37,13298.37,35367279936
20180804,130000,13299.24,13299.47,13299.24,13299.47,3175883684
20180804,170000,13295.6,13295.6,13295.6,13295.6,1587941842
20180805,090000,13303.87,13428.42,13303.87,13366.68,63476761632
20180806,090000,13371.23,13497.41,13371.23,13418.91,84449509057
20180806,170000,13407.36,13407.36,13407.36,13407.36,3616600695
20180807,090000,13414.52,13414.52,13393.1,13412.61,63775061132
20180808,090000,13431.21,13457.47,13386.7,13386.7,46659414220
20180811,090000,13400.91,13419.17,13377.63,13377.64,37535971035
20180812,090000,13395.9,13439.44,13395.9,13432.51,33870584314
20180812,130000,13432.5,13432.5,13432.5,13432.5,1565164362
20180813,090000,13437.3,13477.01,13437.3,13458.38,37011046691
20180813,130000,13458.35,13458.35,13458.35,13458.35,1556582680
20180814,090000,13475.88,13536.09,13475.88,13513.09,35420675922
20180815,090000,13518.35,13553.08,13518.35,13543.94,23578406913
20180815,170000,13542.72,13542.72,13542.72,13542.72,1069357429
20180818,090000,13573.63,13744.84,13573.63,13744.81,24820975445
20180818,130000,13744.8,13744.8,13744.8,13744.8,1182651026
20180819,090000,13790.51,13935.09,13790.51,13934.49,31473408386
20180819,170000,13934.03,13934.03,13934.03,13934.03,1523470545
20180820,090000,13961.51,14087.54,13961.51,14087.52,44406244489
20180820,130000,14087.51,14087.51,14087.49,14087.49,3736794832
20180821,090000,14116.48,14191.14,14116.48,14190.08,35173122756
20180825,090000,14219.93,14463.09,14219.93,14463.06,34130794315
20180825,170000,14459.4,14459.4,14459.4,14459.4,1386279049
20180826,090000,14522.9,14761.75,14522.9,14761.75,40422925634
