<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230619,033000,2336210,2436630,2294660,2352370,10729
20230626,033000,2354680,2414700,2329290,2383540,5921
20230703,033000,2387000,2392770,2341980,2353520,6919
20230710,033000,2351220,2366220,2308510,2321210,4459
20230717,033000,2323510,2337370,2271110,2273880,5124
20230724,033000,2271570,2349370,2267650,2326980,3869
20230731,033000,2328130,2403160,2325820,2361140,6953
20230807,033000,2361600,2369680,2279650,2324670,4896
20230814,033000,2329290,2340830,2279650,2285420,4460
20230821,033000,2278500,2324670,2275730,2314970,3886
20230828,033000,2309660,2380070,2303890,2363910,12582
20230904,033000,2365070,2377760,2343140,2344290,7420
20230911,033000,2349140,2357450,2325820,2339670,9451
20230918,033000,2343600,2343600,2312430,2315440,5033
20230925,033000,2311970,2317510,2241560,2260030,4700
20231002,033000,2261180,2453940,2232790,2442400,4856
20231009,033000,2502420,2509350,2377760,2392770,5585
20231016,033000,2359300,2455100,2336210,2433170,6985
20231023,033000,2447020,2569370,2408930,2495500,5471
20231030,033000,2483960,2527820,2463180,2471260,5318
20231106,033000,2472410,2477030,2405000,2411240,4118
20231113,033000,2419320,2436630,2404310,2411930,3561
20231120,033000,2410080,2448170,2398540,2428090,5031
20231127,033000,2434320,2526660,2429710,2517890,11771
20231204,033000,2530130,2537050,2443100,2452100,23213
20231211,033000,2451640,2491340,2434320,2455560,16103
20231218,033000,2453940,2494810,2442860,2459950,20344
20231225,033000,2458560,2519740,2458560,2506580,21254
20240101,033000,2504730,2591300,2504730,2584610,25252
20240108,033000,2571680,2725200,2552520,2664020,30571
20240115,033000,2664020,2745970,2649010,2703730,27757
20240122,033000,2703260,2862550,2699800,2853320,24523
20240129,033000,2846390,3005680,2732120,2733280,25358
20240205,033000,2733280,2807150,2696340,2759130,16953
20240212,033000,2759820,2849860,2736740,2812920,21333
20240219,033000,2814070,2883330,2786370,2871780,18975
20240226,033000,2881020,3026460,2861400,3016070,25127
20240304,033000,3017220,3227300,3016070,3096860,33577
20240311,033000,3096860,3214600,3049540,3211140,29889
20240318,033000,3199590,3293090,3197280,3265390,5916
20240325,033000,3267700,3339260,3190360,3305780,9643
20240401,033000,3328870,3714390,3310400,3556260,18846
20240408,033000,3550490,3887530,3474310,3753640,13558
20240415,033000,3709770,3843670,3619740,3685540,14441
20240422,033000,3672840,3677460,3315020,3328870,13742
20240429,033000,3324250,3544720,3324250,3363500,10214
20240506,033000,3421210,3483540,3356570,3373890,10664
20240513,033000,3365810,3610510,3301170,3513550,10030
20240520,033000,3485850,3497390,3245760,3285010,8714
20240527,033000,3298860,3444300,3285010,3381970,10491
20240603,033000,3372730,3384270,3306940,3306940,7076
20240610,033000,3313860,3376200,3295400,3365810,8093
20240617,033000,3354260,3414280,3324250,3407360,7085
20240624,033000,3441990,3560880,3421210,3523940,10728
20240701,033000,3511240,3543560,3400430,3423520,12837
20240708,033000,3409670,3414280,3328870,3396970,7642
20240715,033000,3390050,3428140,3325410,3348490,5313
20240722,033000,3351960,3417750,3324250,3405050,9367
20240729,033000,3416590,3677460,3408510,3583960,12883
20240805,033000,3582810,3595500,3444300,3455840,11869
20240812,033000,3473150,3550490,3435060,3505470,13821
20240819,033000,3541250,3631280,3532020,3617430,11626
20240826,033000,3646290,3684380,3579340,3678610,11873
20240902,033000,3676300,3679760,3595500,3612820,6926
20240909,033000,3613970,3728240,3602430,3691310,11106
20240916,033000,3686690,3811350,3685540,3804420,10977
20240923,033000,3802120,4060670,3799810,3968330,16868
20240930,033000,3970640,4148390,3915230,4126460,20181
20241007,033000,4106840,4129920,4022580,4087220,14837
20241014,033000,4099910,4307680,4082600,4275360,14910
20241021,033000,4303060,4673580,4289210,4451960,18245
20241028,033000,4463500,4762450,4457730,4674730,18530
20241104,033000,4672420,4716280,4418490,4438110,16313
20241111,033000,4375780,4409250,4236110,4289210,19705
20241118,033000,4323840,4704740,4307680,4569690,16404
20241125,033000,4487740,4653950,4438110,4563920,14465
20241202,033000,4566230,4690890,4563920,4630870,13781
20241209,033000,4673580,4896350,4658570,4845560,14511
20241216,033000,4855950,4988690,4836330,4903270,16634
20241223,033000,4949440,5298030,4937900,5157210,17572
20241230,033000,5149130,5272640,5099500,5113350,20399
20250106,033000,5107580,5378830,5085650,5277250,23085
20250113,033000,5295720,5353430,5171060,5251860,15985
20250120,033000,5272640,5614290,5228770,5605060,21208
20250127,033000,5600440,5690480,5512720,5659310,22543
20250203,033000,5646610,6694680,5639690,6669280,24823
20250210,033000,6648510,6879360,6260680,6516690,7637
20250217,033000,6521310,7010940,6463830,6731610,9358
20250224,033000,6763930,6800870,6389950,6466130,20165
20250303,033000,6463830,7237180,6302230,7214090,13683
20250310,033000,7202550,7433400,7017870,7426470,14057
20250317,033000,7387230,8183660,7368760,7948200,7813
20250324,033000,7929730,8437600,7761210,8229840,13626
20250331,033000,8218290,8414520,7687340,8042850,15186
20250407,033000,8033610,8061310,6544620,6648510,23288
20250414,033000,6643890,7133290,6413040,6618500,30629
20250421,033000,6706220,6863200,6371480,6738540,23501
20250428,033000,6648510,6897820,6392260,6812410,24518
20250505,033000,6798560,6860890,6551550,6611570,19945
20250512,033000,6586180,6643890,6138330,6227200,18438
20250519,033000,6260680,6849350,6249130,6549240,20172
20250526,033000,6498450,6528460,6380720,6429200,28657
20250602,033000,6426890,6742000,6408420,6489220,27767
20250609,033000,6489220,6807790,6415350,6733920,13520
20250623,033000,7410310,7468030,6579250,7084820,1060
20250630,033000,7200240,7615770,7200240,7292580,6059
20250707,033000,7361840,7361840,6847040,7223320,12006
20250714,033000,7223320,7267190,6923220,6941690,14928
20250721,033000,6983240,7276420,6971700,7050190,16578
20250728,033000,7084820,7585760,7059420,7532660,14792
20250804,033000,7532660,7740430,7380300,7488800,18207
20250811,033000,7502660,7643470,7396460,7502660,15498
20250818,033000,7525740,7897410,7525740,7756590,16615
20250825,033000,7768130,8975480,7751970,8950090,18363
20250901,033000,9012420,9070130,8483770,8816200,25248
20250908,033000,8864680,9023960,8389120,8472230,24219
20250915,033000,8564570,9721130,8553030,9589550,29336
20250922,033000,9612630,10425200,9273280,10164400,34232
20250929,033000,10196700,11168600,10109000,10533700,32326
20251006,033000,10607600,11475600,10480600,10801500,34560
20251013,033000,10803800,11427100,10753000,11101600,37338
20251020,033000,11196300,11267800,10538300,10764600,39452
20251027,033000,10829200,10856900,10247500,10494500,37000
20251103,033000,10575300,10575300,10402100,10462200,21237
20251110,033000,10469100,11662600,10469100,11221700,25983
20251117,033000,11207800,11461700,10979300,11274800,31913
20251124,033000,11256300,12094300,11170900,12089700,29874
20251201,033000,12122000,12687600,11946500,12643700,30051
20251208,033000,12643700,13611000,12544400,13594800,30802
20251215,033000,13645600,14010300,13322400,13631700,49850
20251222,033000,13643300,16046400,13643300,15707100,65848
20251229,033000,15741700,15741700,13885700,14756000,69239
20260105,033000,14820600,16344200,14820600,15827100,33894
20260112,000000,15790300,15836400,15651700,15675000,2
20260112,033000,15811000,15824800,15605500,15697900,147
20260119,033000,15005000,16621300,14924500,16505800,1265
20260126,033000,17048300,22438700,16967500,18883600,40017
20260202,033000,18237200,20499600,17313800,18929800,49312
20260209,033000,19045200,20361100,18652800,19299100,40212
